,Title,Rating,Release Date,Runtime,Genres
5707,Army of Shadows,8.0,9/10/1969,145,"War, Drama, Thriller"
5708,Charlie Wilson's War,6.5,12/19/2007,102,"Comedy, Drama, History"
5709,Dead Bang,6.3,3/24/1989,105,"Action, Thriller, Crime"
5710,The Sick Kitten,5.6,12/31/1903,1,Drama
5711,A Soldier's Story,6.7,9/14/1984,101,"Drama, Mystery, War, Crime"
5712,The Bellboy,6.4,7/20/1960,72,Comedy
5713,Collapse,7.2,9/12/2009,82,Documentary
5714,Pietà,7.1,9/5/2012,104,Drama
5715,The Foreigner,7.0,9/28/2017,113,"Action, Thriller"
5716,7 Men from Now,6.9,8/4/1956,78,Western
5717,Sinister 2,5.9,8/19/2015,97,Horror
5718,Shark Swarm,5.5,3/9/2008,158,"Drama, Horror, Thriller, Action"
5719,Adopt a Highway,6.7,11/1/2019,78,Drama
5720,Babel,7.2,9/8/2006,143,Drama
5721,Once in a Lifetime,7.4,12/3/2014,105,Drama
5722,Mary,8.1,6/5/2017,29,Drama
5723,Zookeeper,5.4,7/6/2011,102,"Comedy, Romance, Family"
5724,Cat Pack: A PAW Patrol Exclusive Event,7.3,6/24/2022,68,"Animation, Family"
5725,Eden,5.2,11/19/2014,97,"Thriller, Drama"
5726,Uninvited,4.9,8/24/1988,90,"Horror, Science Fiction"
5727,Pale Flower,7.4,3/1/1964,96,"Drama, Crime, Romance, Action"
5728,The Amazing Bulk,2.3,4/17/2012,75,"Action, Comedy, Science Fiction, Adventure, Animation"
5729,Hear Me,7.2,8/28/2009,109,"Romance, Drama"
5730,Sympathy for the Devil,6.2,11/30/1968,115,"Documentary, Music"
5731,The Little Bather,6.7,3/22/1968,96,Comedy
5732,Forever Out of My League,5.8,1/31/2022,104,"Romance, Comedy"
5733,My Best Friend Is a Vampire,5.8,10/1/1987,89,"Comedy, Family, Horror"
5734,"Godzilla, King of the Monsters!",6.6,4/27/1956,81,"Science Fiction, Horror"
5735,The Night of the Generals,6.8,1/29/1967,148,"Crime, Mystery, Thriller, War"
5736,Full Contact,6.8,7/23/1992,96,"Crime, Action, Thriller"
5737,Il tuttofare,6.2,4/19/2018,96,Comedy
5738,Cerise,5.5,4/1/2015,90,Comedy
5739,Inequality for All,7.5,1/19/2013,88,Documentary
5740,Lemonade,6.9,4/24/2015,110,"Drama, Comedy"
5741,Peeping Tom,7.4,5/16/1960,101,"Horror, Thriller, Drama"
5742,Buck Rogers in the 25th Century,5.9,3/2/1979,98,"Science Fiction, Adventure, Action"
5743,A Chinese Ghost Story II,6.6,7/13/1990,104,"Fantasy, Action, Comedy"
5744,A Nos Amours,6.8,11/16/1983,102,"Drama, Romance"
5745,Midnight Movie,5.0,3/12/2009,80,"Horror, Thriller"
5746,I Sell the Dead,6.0,8/7/2008,85,"Comedy, Drama, Horror"
5747,Mac & Devin Go to High School,6.5,7/3/2012,75,Comedy
5748,Sunshine,6.6,9/13/1999,181,"Drama, History"
5749,Saw V,6.2,10/23/2008,95,"Horror, Thriller, Crime"
5750,Dry Summer,7.3,12/16/1963,90,"Drama, Crime, Western"
5751,Great White,5.3,5/13/2021,91,"Horror, Thriller"
5752,Hulk: Where Monsters Dwell,6.7,10/21/2016,75,"Action, Animation, Fantasy, Science Fiction"
5753,Fresh Meat,5.4,10/25/2012,91,"Comedy, Horror"
5754,Anna,6.7,6/19/2019,119,"Thriller, Action"
5755,August 15th,5.0,4/18/2001,92,Comedy
5756,Crossroads,7.3,3/14/1986,99,"Drama, Music, Mystery, Romance"
5757,Dr. Jekyll and Mr. Hyde,6.4,8/12/1941,113,"Drama, Horror, Science Fiction"
5758,Destiny,7.5,11/17/2006,103,Drama
5759,Pandora's Box,7.5,1/30/1929,133,"Drama, Romance, Crime"
5760,All the Devil's Men,5.8,5/12/2018,99,Action
5761,River,5.8,3/11/2016,95,Thriller
5762,Primal Fear,7.7,3/6/1996,129,"Crime, Drama, Mystery, Thriller"
5763,The Japanese Wife Next Door,4.6,4/23/2004,60,Comedy
5764,The Light Between Oceans,7.1,9/2/2016,133,"Drama, Romance"
5765,The Troubles of Alfred,5.9,3/1/1972,98,Comedy
5766,The Addams Family,7.0,11/22/1991,102,"Comedy, Fantasy"
5767,Return to Sender,6.1,5/31/2015,95,"Drama, Thriller"
5768,Black Box,6.5,10/6/2020,100,"Horror, Science Fiction, Thriller"
5769,Death Note,4.2,8/25/2017,101,"Crime, Fantasy, Horror, Thriller"
5770,Parallel,6.0,4/10/2018,104,"Science Fiction, Fantasy, Horror"
5771,Eyes Wide Open,6.5,5/20/2009,90,"Romance, Drama"
5772,The Adventures of Milo and Otis,6.4,6/27/1986,76,"Adventure, Drama, Family"
5773,Southland Tales,5.1,11/14/2007,144,"Science Fiction, Thriller, Comedy"
5774,Still Life,7.2,11/16/2006,108,Drama
5775,Roadracers,5.7,7/22/1994,95,"Action, TV Movie, Fantasy, Romance"
5776,Black Moon Rising,5.6,1/10/1986,100,"Action, Science Fiction"
5777,Mine Games,5.6,12/1/2012,88,"Thriller, Horror"
5778,Midori,6.3,5/2/1992,48,"Animation, Drama, Horror, Romance"
5779,If These Walls Could Talk 2,6.7,3/5/2000,96,"Romance, Drama"
5780,Renegades,5.2,6/2/1989,106,"Action, Crime, Thriller"
5781,Les Mythos,5.8,7/13/2011,87,Comedy
5782,The Ballad of Buster Scruggs,7.1,11/9/2018,132,"Western, Comedy, Drama"
5783,Volunteers,5.4,8/16/1985,107,Comedy
5784,Me Vuelves Loca,8.6,9/7/2023,0,Comedy
5785,The Little Mermaid,5.0,8/2/2018,98,"Family, Adventure, Fantasy, Romance, Drama"
5786,The Adversary,6.6,8/28/2002,129,"Mystery, Drama, Crime"
5787,The Most Charming and Attractive,7.3,12/2/1985,89,"Comedy, Romance"
5788,Estômago: A Gastronomic Story,7.9,9/26/2007,113,"Drama, Comedy"
5789,The Disappearance of Alice Creed,6.5,9/12/2009,100,"Crime, Drama, Thriller"
5790,Despicable Me 3,6.5,6/15/2017,90,"Action, Animation, Comedy, Family, Adventure"
5791,2149: The Aftermath,6.6,10/7/2016,94,Science Fiction
5792,Jesus Revolution,6.9,2/23/2023,120,"Drama, History"
5793,One Fine Morning,6.7,10/5/2022,113,"Drama, Romance"
5794,"Tad, the Lost Explorer",6.2,8/10/2012,90,"Animation, Comedy, Adventure, Family"
5795,Best in Bed,5.0,1/15/2014,91,Comedy
5796,The Believer,6.9,8/23/2001,98,Drama
5797,The Perfect Patient,6.4,9/20/2019,110,"Thriller, Drama, Crime"
5798,When Harry Met Sally...,7.4,7/21/1989,96,"Comedy, Romance, Drama"
5799,Another Happy Day,5.7,11/18/2011,119,"Comedy, Drama"
5800,Vicious,6.4,1/24/2019,97,Thriller
5801,Best Defense,4.2,7/20/1984,94,"Comedy, Action"
5802,Gothic,5.7,11/30/1986,84,Horror
5803,The Son of Kong,5.5,12/22/1933,70,"Adventure, Action, Horror"
5804,The Way of the Dragon,7.4,6/1/1972,100,"Action, Crime"
5805,Meeting Gorbachev,6.6,5/3/2019,95,Documentary
5806,Frost/Nixon,7.3,10/15/2008,122,"Drama, History"
5807,Men in Hope,7.5,8/25/2011,115,"Comedy, Romance"
5808,Murder by Numbers,6.1,4/19/2002,120,"Crime, Drama, Thriller"
5809,Pappa ante Portas,7.6,2/21/1991,84,Comedy
5810,Who Is Killing the Great Chefs of Europe?,6.0,9/13/1978,112,"Comedy, Thriller, Mystery"
5811,The Ornithologist,6.1,9/16/2016,118,"Adventure, Drama, Mystery"
5812,Carancho,6.6,5/6/2010,107,"Thriller, Drama, Romance"
5813,Crash Pad,5.6,10/27/2017,93,Comedy
5814,Lost City Raiders,4.6,10/31/2008,90,"Adventure, Action, Thriller, Science Fiction"
5815,The Boss: Anatomy of a Crime,7.7,10/12/2014,98,"Drama, Crime"
5816,Girl at the Window,5.8,8/18/2022,84,"Thriller, Horror"
5817,My Blind Brother,5.9,9/19/2016,85,"Comedy, Drama, Romance"
5818,Jean Charles,6.3,6/26/2009,92,Drama
5819,Sin,6.0,11/14/2019,134,"History, Drama"
5820,Austin Powers in Goldmember,6.0,7/26/2002,93,"Comedy, Crime, Science Fiction"
5821,Witchfinder General,6.5,5/17/1968,87,"Drama, History, Horror"
5822,Tales from the Hood,6.2,5/24/1995,97,"Horror, Crime, Thriller"
5823,The Exorcism of God,7.1,3/11/2022,98,Horror
5824,Jenny's Wedding,5.7,7/31/2015,94,"Comedy, Drama"
5825,Big Man Japan,6.0,5/19/2007,113,"Animation, Action, Comedy, Science Fiction"
5826,Outpost,5.9,3/11/2008,90,"Action, Adventure, Horror"
5827,Sicario,7.4,9/17/2015,122,"Action, Crime, Thriller"
5828,Pitch Perfect 2,6.9,5/7/2015,115,"Comedy, Music"
5829,Looney Tunes Super Stars Bugs Bunny: Hare Extraordinaire,8.3,8/10/2010,120,"Animation, Family"
5830,Resident Evil: Death Island,7.6,6/22/2023,91,"Animation, Action, Horror"
5831,Midsommar,7.2,7/3/2019,147,"Horror, Drama, Mystery"
5832,"Easy Riders, Raging Bulls: How the Sex, Drugs and Rock 'n' Roll Generation Saved Hollywood",7.1,3/9/2003,119,Documentary
5833,Pinocchio,7.1,2/23/1940,88,"Animation, Family"
5834,C'est la vie!,7.0,10/4/2017,115,Comedy
5835,Transfusion,6.1,1/5/2023,105,"Crime, Action, Drama"
5836,Safe,6.9,6/23/1995,119,Drama
5837,The Loneliest Planet,5.5,5/25/2012,113,Drama
5838,Gangaajal,6.2,8/29/2003,157,"Drama, Crime"
5839,Rio Grande,6.8,11/15/1950,105,Western
5840,That's Life,7.5,12/18/1998,108,Comedy
5841,Frankie and Johnny,6.7,10/11/1991,118,"Drama, Romance, Comedy"
5842,Control,6.1,12/7/2004,104,"Thriller, Action"
5843,The Scandalous Lady W,6.6,8/17/2015,90,"Drama, TV Movie, Romance, History"
5844,The Invisible,6.3,4/27/2007,102,"Fantasy, Thriller"
5845,And the Band Played On,6.4,9/11/1993,140,"Drama, TV Movie"
5846,Piranha 3D,5.4,8/20/2010,88,"Comedy, Horror"
5847,Cesar and Rosalie,7.2,10/11/1972,110,"Romance, Drama, Comedy"
5848,The Pink Phink,7.0,12/18/1964,7,"Animation, Comedy, Family"
5849,The Emoji Movie,5.5,7/23/2017,86,"Animation, Family, Comedy"
5850,Flight Crew,7.0,4/21/2016,138,Action
5851,Big Buck Bunny,6.5,4/10/2008,8,"Animation, Comedy, Family"
5852,The Nun's Story,7.2,6/18/1959,149,Drama
5853,Trixie Mattel: Moving Parts,6.8,4/25/2019,92,Documentary
5854,Submarine,7.4,3/18/2011,97,"Drama, Comedy, Romance"
5855,Volcano High,6.0,12/8/2001,120,"Action, Comedy"
5856,Hellraiser: Revelations,3.6,10/18/2011,75,Horror
5857,F.R.E.D.I.,6.0,5/3/2018,89,"Science Fiction, Family, Adventure"
5858,Chained,6.7,10/2/2012,94,"Horror, Thriller, Drama"
5859,Dog Years,6.4,10/22/2021,97,"Romance, Comedy"
5860,Multiverse,6.7,11/12/2021,93,"Science Fiction, Thriller, Drama"
5861,I Married a Witch,6.8,10/30/1942,74,"Comedy, Fantasy, Romance"
5862,Downfall,7.8,9/16/2004,156,"Drama, History, War"
5863,First Love,5.7,6/17/2022,95,"Romance, Drama"
5864,Swing Time,6.8,8/27/1936,103,"Comedy, Music, Romance"
5865,My Best Pals,6.5,3/1/1989,110,Comedy
5866,Evangelion: 3.0+1.0 Thrice Upon a Time,8.3,3/8/2021,155,"Animation, Action, Science Fiction, Drama"
5867,Welcome to the Jungle,5.1,4/27/2013,95,Comedy
5868,Sarkar,6.0,11/6/2018,164,"Action, Drama"
5869,Meu Passado Me Condena: O Filme,6.4,10/25/2013,102,Comedy
5870,The Way West,5.8,5/24/1967,122,"Action, Adventure, Drama, Western"
5871,They Reach,7.1,3/14/2020,88,"Adventure, Horror"
5872,The Last Exorcism Part II,4.6,2/28/2013,88,"Horror, Thriller"
5873,Women in Trouble,5.2,11/13/2009,92,"Comedy, Drama"
5874,Wither,5.4,5/4/2013,96,Horror
5875,Grand Central,5.6,8/28/2013,94,"Drama, Romance"
5876,The 400 Blows,8.1,6/3/1959,99,Drama
5877,My Hero Academia: Two Heroes,7.9,8/3/2018,96,"Animation, Action, Adventure, Fantasy"
5878,[REC]⁴ Apocalypse,5.5,10/31/2014,95,"Thriller, Horror"
5879,Wuthering Heights,5.9,9/9/2011,124,"Drama, Romance"
5880,What Have You Done to Solange?,6.8,3/9/1972,107,"Mystery, Thriller, Horror"
5881,The Music Man,7.1,6/19/1962,151,"Comedy, Family, Music, Romance"
5882,Friends: The Reunion,7.9,5/27/2021,104,Documentary
5883,The Butterfly Effect 3: Revelations,5.5,1/9/2009,90,"Science Fiction, Thriller, Drama, Crime"
5884,Vampire Academy,6.3,2/7/2014,104,"Comedy, Action, Fantasy"
5885,Passage of Venus,6.2,1874-12-09,1,Documentary
5886,Author! Author!,5.8,6/18/1982,110,"Comedy, Drama, Romance"
5887,The Lives of Others,8.0,3/15/2006,137,"Drama, Thriller"
5888,"Marecek, Pass Me the Pen!",7.9,10/8/1976,91,Comedy
5889,Detective Conan: The Eleventh Striker,6.9,4/14/2012,110,"Mystery, Action, Animation"
5890,The Oath,5.9,10/12/2018,93,Comedy
5891,Gotti,5.3,6/14/2018,106,"Crime, Drama, History, Thriller"
5892,Coney Island,5.9,10/29/1917,25,Comedy
5893,Rush: Beyond The Lighted Stage,7.4,6/29/2010,107,"Documentary, Music"
5894,Toy Soldiers,6.4,4/24/1991,112,"Action, Adventure, Thriller"
5895,To Chiara,7.1,10/7/2021,121,Drama
5896,EMO the Musical,6.0,8/12/2016,94,"Romance, Music, Comedy"
5897,Grey Owl,5.5,10/1/1999,117,"Western, Action, Drama, Romance"
5898,Barbie and the Diamond Castle,7.4,9/3/2008,78,"Animation, Family"
5899,How to Murder Your Wife,6.4,1/26/1965,118,Comedy
5900,Set It Up,7.0,6/15/2018,105,"Romance, Comedy"
5901,My Name Is Tanino,6.4,9/5/2002,109,Comedy
5902,Lucas,6.6,3/28/1986,108,"Comedy, Drama, Romance"
5903,Sushi Girl,5.6,12/7/2012,98,"Thriller, Crime"
5904,Amor bandido,6.7,3/18/2021,80,"Thriller, Romance"
5905,Huevos: Little Rooster's Egg-Cellent Adventure,7.0,9/4/2015,99,"Animation, Adventure, Comedy, Family"
5906,Devils on the Doorstep,8.1,5/12/2000,139,"Drama, War"
5907,The Tax Collector,5.6,8/7/2020,95,"Action, Crime, Drama"
5908,Extreme Prejudice,6.1,4/24/1987,101,"Western, Action, Thriller, Crime"
5909,The Foreigner,3.9,6/1/2003,96,"Action, Thriller"
5910,Ae Dil Hai Mushkil,6.4,10/27/2016,158,"Romance, Drama"
5911,Operator,5.8,10/14/2016,89,"Comedy, Drama"
5912,Trucks,4.6,10/29/1997,99,"Horror, Science Fiction, Thriller, TV Movie, Action"
5913,King of the Ants,6.0,7/28/2003,102,"Crime, Horror, Thriller"
5914,The Tigger Movie,6.5,2/11/2000,77,"Family, Animation, Comedy"
5915,Leprechaun,5.6,1/8/1993,91,"Horror, Comedy, Fantasy"
5916,Lightning Jack,5.6,3/11/1994,98,"Comedy, Western"
5917,How to Train Your Dragon 2,7.7,6/5/2014,102,"Fantasy, Action, Adventure, Animation, Comedy, Family"
5918,Chappie,6.8,3/4/2015,120,"Crime, Action, Science Fiction"
5919,Educating Rita,6.8,6/16/1983,110,"Drama, Comedy"
5920,Full Out,7.3,9/11/2015,94,"History, Drama, Family"
5921,Fearless,7.5,1/26/2006,103,"Drama, Action"
5922,Sun Dogs,6.6,6/18/2017,93,"Drama, Comedy"
5923,Rest Stop,5.3,10/7/2006,85,"Horror, Thriller"
5924,Lady Bloodfight,6.6,11/11/2016,97,"Action, Thriller"
5925,Father Figures,5.8,12/21/2017,125,Comedy
5926,Knick Knack,7.1,11/23/1989,4,"Animation, Family, Comedy"
5927,Shin Kamen Rider,7.0,3/17/2023,121,"Action, Drama, Science Fiction"
5928,A Regular Woman,7.4,5/9/2019,90,"Drama, Crime"
5929,"Ruby Gillman, Teenage Kraken",7.5,6/28/2023,91,"Animation, Family, Fantasy, Comedy"
5930,Look Back in Anger,6.6,9/15/1959,98,Drama
5931,Frankenstein Meets the Wolf Man,6.2,3/5/1943,74,Horror
5932,12 Strong,6.2,1/18/2018,130,"War, Drama, Action, History"
5933,An Inspector Calls,7.3,3/16/1954,80,"Crime, Drama, Mystery, Romance"
5934,Pickpocket,7.2,8/1/1997,114,Drama
5935,All Things Fall Apart,5.7,3/5/2011,106,Drama
5936,Mea Culpa,6.3,2/5/2014,90,"Action, Thriller"
5937,12 Men of Christmas,5.2,12/5/2009,95,"Comedy, Romance, TV Movie"
5938,"Good Luck to You, Leo Grande",7.0,6/16/2022,97,"Comedy, Romance, Drama"
5939,Female Fight Squad,6.3,3/16/2017,90,Action
5940,Torrente 4: Lethal crisis,5.5,3/11/2011,93,"Action, Comedy, Crime"
5941,Homeward Bound II: Lost in San Francisco,6.5,3/8/1996,89,"Adventure, Comedy, Drama, Family"
5942,The White Ribbon,7.5,9/24/2009,144,"Drama, Mystery"
5943,That Darn Cat!,6.6,12/2/1965,112,"Family, Comedy, Crime"
5944,Manhattan Melodrama,7.0,5/4/1934,93,"Crime, Drama, Romance"
5945,WWE WrestleMania 36: Part 1,7.9,4/4/2020,179,"Action, Drama"
5946,50/50,7.2,9/30/2011,100,"Comedy, Drama"
5947,Grown Ups,6.4,6/24/2010,102,Comedy
5948,Elvis & Nixon,6.0,3/22/2016,86,"Drama, Comedy, History"
5949,Don't Hug Me I'm Scared 3,7.2,10/31/2014,7,"Horror, Fantasy, Animation, Music"
5950,Wood Job!,7.3,5/10/2014,116,"Drama, Comedy"
5951,Psycho-Pass: Sinners of the System - Case.2 First Guardian,6.8,2/15/2019,60,"Animation, Science Fiction, Crime"
5952,The St. Valentine's Day Massacre,6.3,6/30/1967,100,"History, Crime"
5953,Stander,6.3,10/10/2003,116,"Action, Crime, Drama"
5954,Bécassine !,4.7,6/20/2018,102,Comedy
5955,A Friend of Mine,6.6,10/5/2006,84,Drama
5956,Nobel Son,6.1,4/28/2007,110,"Comedy, Crime, Drama"
5957,Nearlyweds,6.6,1/12/2013,90,"Romance, TV Movie, Comedy"
5958,Girl,7.2,9/18/2018,105,Drama
5959,You Kill Me,6.2,2/9/2007,90,"Comedy, Crime, Thriller, Romance"
5960,Attack the Block,6.5,5/12/2011,88,"Action, Comedy, Science Fiction"
5961,iBoy,6.0,1/27/2017,90,"Action, Science Fiction"
5962,Rommel,6.2,11/1/2012,120,"Action, War, History, Drama"
5963,The Race,4.0,3/27/2002,94,"Action, Comedy, Drama, Family"
5964,Let It Snow,4.9,12/13/2017,95,Comedy
5965,Waterworld,6.2,7/28/1995,135,"Adventure, Action, Science Fiction"
5966,Riff-Raff,6.7,6/21/1991,95,"Comedy, Drama"
5967,Final Cut: Ladies and Gentlemen,7.5,2/4/2012,84,"Drama, Romance"
5968,Ivan Vasilyevich Changes His Profession,8.0,9/17/1973,93,"Comedy, Science Fiction"
5969,A Very Murray Christmas,5.2,12/4/2015,56,"Comedy, Music, TV Movie"
5970,French Blood,5.9,6/10/2015,98,Drama
5971,The Lizzie McGuire Movie,6.3,5/2/2003,94,"Family, Comedy"
5972,Neighboring Sounds,7.1,2/1/2012,131,"Thriller, Drama, Crime"
5973,Carlito's Way,7.8,11/10/1993,144,"Crime, Drama, Romance, Thriller"
5974,"Like Sunday, Like Rain",7.4,3/1/2014,104,"Drama, Music"
5975,A Liberal Passion,5.7,4/18/2013,88,"Comedy, Romance"
5976,Memories of the Sword,6.6,8/13/2015,120,"Drama, History, Action"
5977,Stuck in the Suburbs,6.0,7/16/2004,89,"Family, Comedy, Music, TV Movie"
5978,Escape Plan 2: Hades,5.2,6/5/2018,96,"Action, Thriller, Mystery"
5979,Bulletproof 2,6.5,1/7/2020,97,"Comedy, Action, Crime"
5980,A la mala,7.7,2/27/2015,99,Comedy
5981,Bleach the Movie: Fade to Black,7.1,12/13/2008,94,"Action, Animation, Fantasy, Drama"
5982,Monster in the Closet,5.0,5/15/1986,90,"Horror, Comedy"
5983,Hostiles,6.9,12/22/2017,134,"Western, Drama, History"
5984,A Breath of Fresh Air,5.6,7/7/2022,90,"Comedy, Drama"
5985,The Fallen Idol,7.2,9/30/1948,96,"Drama, Thriller"
5986,"Feyzo, The Polite One",7.8,11/1/1978,83,Comedy
5987,The Incredible Melting Man,4.5,11/10/1977,84,"Horror, Science Fiction"
5988,"To Each, Her Own",5.1,6/24/2018,95,"Comedy, Romance"
5989,Senna,8.1,10/7/2010,106,"Documentary, History"
5990,Catfight,5.6,3/3/2017,96,"Comedy, Drama"
5991,Neon Maniacs,5.4,11/14/1986,91,Horror
5992,Blind,6.3,2/28/2014,96,Drama
5993,Showgirls,5.5,9/22/1995,131,Drama
5994,Dead Poets Society,8.3,6/2/1989,128,Drama
5995,Daddy Day Care,5.9,5/9/2003,92,"Comedy, Family"
5996,Violet Evergarden: The Movie,8.3,9/18/2020,140,"Animation, Fantasy, Romance, Drama"
5997,The Olympic Champ,6.6,10/9/1942,7,"Comedy, Animation"
5998,Ratcatcher,7.2,11/12/1999,94,Drama
5999,Grimcutty,5.2,10/10/2022,101,Horror
6000,The Jack Bull,6.3,4/17/1999,116,"Western, TV Movie"
6001,College Road Trip,5.5,3/7/2008,83,"Comedy, Family, Action, Adventure"
6002,Winnie-the-Pooh Goes Visiting,7.3,7/10/1971,10,"Animation, Family"
6003,Eastern Condors,7.2,7/9/1987,97,"Action, Adventure, War"
6004,The Wilde Wedding,5.3,9/15/2017,95,"Comedy, Romance"
6005,Made in China,5.5,6/26/2019,87,"Comedy, Drama"
6006,Every Christmas Has a Story,5.3,11/12/2016,84,"TV Movie, Drama, Comedy, Romance"
6007,Luxo Jr.,7.1,8/17/1986,2,"Animation, Comedy"
6008,The Hitcher,6.9,1/17/1986,98,"Horror, Action, Thriller"
6009,North,5.0,7/22/1994,87,"Comedy, Family, Fantasy"
6010,Rogue,6.4,11/8/2007,99,"Action, Horror, Thriller"
6011,Moon Mater,6.1,11/2/2010,4,"Animation, Comedy"
6012,Dormant Beauty,6.4,9/1/2012,115,Drama
6013,The Expendables,6.2,8/3/2010,103,"Thriller, Adventure, Action"
6014,Easter Parade,6.9,7/8/1948,103,"Romance, Music"
6015,Home Alone 2: Lost in New York,6.7,11/19/1992,120,"Comedy, Family, Adventure"
6016,The Long Kiss Goodnight,6.6,10/11/1996,121,"Crime, Action, Mystery, Thriller"
6017,Raees,6.7,1/25/2017,143,"Thriller, Action, Crime"
6018,Firefighters 2: Heroic Mission,5.5,4/9/1987,94,Comedy
6019,Soul Food,6.4,9/26/1997,114,"Comedy, Drama"
6020,"Adiós, Sabata",6.4,9/30/1970,104,"Action, Western, War"
6021,Evangelion: 2.0 You Can (Not) Advance,7.8,6/26/2009,112,"Animation, Science Fiction, Action, Drama"
6022,X the Unknown,6.2,9/21/1956,81,"Horror, Science Fiction, Mystery"
6023,After the Rehearsal,6.9,6/21/1984,70,Drama
6024,Fairy Tail: Dragon Cry,6.6,5/6/2017,85,"Action, Adventure, Comedy, Fantasy, Animation"
6025,Love Me If You Dare,7.3,9/17/2003,93,"Drama, Comedy, Romance"
6026,The Rapture,5.7,10/4/1991,100,"Mystery, Drama"
6027,Breakin',6.8,1/10/1984,90,"Music, Comedy, Drama, Romance"
6028,One Night in Miami...,7.1,12/25/2020,114,Drama
6029,Kannum Kannum Kollaiyadithaal,6.8,2/28/2020,162,"Comedy, Romance, Drama"
6030,Big Driver,5.8,10/18/2014,87,"Crime, Mystery, Thriller, TV Movie"
6031,Faustina: Love and Mercy,8.5,3/29/2019,107,"Drama, Documentary"
6032,Rob the Bank,6.5,2/25/1964,88,"Comedy, Crime"
6033,Saturday Night Fever,6.7,12/16/1977,119,"Music, Drama"
6034,Thumbelina,6.4,3/29/1994,86,"Animation, Family, Fantasy, Romance, Music"
6035,Harmony,6.9,11/13/2015,119,"Thriller, Animation, Science Fiction"
6036,The Real Life of Teachers,4.8,2/20/2013,97,Comedy
6037,Stop at Nothing: The Lance Armstrong Story,7.3,5/27/2014,100,Documentary
6038,Bibi Blocksberg,6.0,9/25/2002,102,"Adventure, Comedy, Family, Fantasy"
6039,A Very Brady Sequel,5.8,8/23/1996,90,"Family, Comedy"
6040,Dragon Hunters,6.6,3/19/2008,80,"Animation, Family"
6041,Offline: Are You Ready for the Next Level?,5.4,1/19/2016,0,"Action, Adventure, Comedy"
6042,Me Time,5.9,8/26/2022,104,Comedy
6043,Analyze That,5.8,12/6/2002,96,"Comedy, Crime"
6044,The Hitch-Hiker,6.8,3/30/1953,71,"Crime, Thriller"
6045,The Adventures of Prince Achmed,7.6,9/3/1926,65,"Animation, Adventure, Fantasy, Romance"
6046,Sinister,6.9,3/29/2012,110,"Horror, Thriller, Mystery"
6047,Lucia's Grace,5.9,11/22/2018,104,"Comedy, Drama"
6048,MouseHunt,6.5,12/19/1997,98,"Comedy, Family"
6049,Wonderful Days,6.2,7/17/2003,86,"Animation, Science Fiction"
6050,The Stranger,7.3,7/2/1946,95,"Thriller, Crime"
6051,Play It to the Bone,5.6,12/25/1999,124,Comedy
6052,Hush,5.7,8/13/2008,91,"Thriller, Horror, Action"
6053,Satan's Slaves,6.8,9/28/2017,107,"Drama, Horror, Mystery"
6054,Genius,6.5,6/10/2016,104,"History, Drama"
6055,Three Wishes for Cinderella,7.0,11/12/2021,87,"Fantasy, Family"
6056,Hotel Transylvania 2,6.8,9/21/2015,89,"Animation, Comedy, Family, Fantasy"
6057,Charm City Kings,7.9,1/27/2020,125,Drama
6058,Liar Liar,6.7,3/21/1997,86,Comedy
6059,Journey's End,6.3,12/14/2017,108,"War, Drama, Action"
6060,Lassie,6.4,12/16/2005,100,"Adventure, Drama, Family"
6061,Ice Age: The Meltdown,6.7,3/29/2006,91,"Animation, Family, Comedy, Adventure"
6062,The Ninth Configuration,6.6,2/29/1980,118,"Drama, Thriller, Comedy, Mystery, Horror"
6063,Ask Me If I Am Happy,7.7,12/15/2000,100,Comedy
6064,Out in the Dark,6.8,9/9/2012,96,"Drama, Romance, Thriller"
6065,90 Minutes in Heaven,6.0,9/11/2015,121,Drama
6066,Romasanta: The Werewolf Hunt,5.0,5/13/2004,90,"Action, Horror"
6067,My Friend Dahmer,6.6,11/3/2017,107,"Drama, Crime"
6068,Stir of Echoes,6.7,9/10/1999,99,"Horror, Mystery, Thriller"
6069,Nymphomaniac: Vol. II,6.8,12/25/2013,124,"Drama, Mystery"
6070,Napoleon Dynamite,6.8,6/11/2004,95,Comedy
6071,Robin Hood,7.3,11/8/1973,83,"Animation, Family"
6072,Annie,6.2,12/19/2014,119,"Comedy, Drama, Family"
6073,Rich and Poor,6.1,3/30/1983,92,"Comedy, Romance"
6074,Paradise Alley,5.8,9/22/1978,107,"Action, Drama"
6075,Vincent Wants to Sea,6.8,4/21/2010,96,Drama
6076,La Casa,6.4,1/30/2020,73,Horror
6077,Batman Begins,7.7,6/10/2005,140,"Action, Crime, Drama"
6078,Mimino,7.7,6/6/1977,92,"Drama, Comedy"
6079,Tô Ryca!,6.3,9/22/2016,110,Comedy
6080,Stereo (Tile 3B of a CAEE Educational Mosaic),5.5,6/23/1969,63,Science Fiction
6081,"Definitely, Maybe",6.9,2/8/2008,112,"Comedy, Romance"
6082,Operation Chromite,5.9,7/27/2016,111,"History, Drama, War, Action"
6083,Eat Locals,5.1,4/6/2017,93,"Action, Comedy, Horror"
6084,Mortal Kombat Legends: Scorpion's Revenge,8.1,4/12/2020,80,"Animation, Action, Fantasy"
6085,Bullet Ballet,6.9,12/1/1998,87,"Drama, Thriller, Crime"
6086,The Piano Teacher,7.3,9/5/2001,131,"Drama, Romance"
